"Path","Status","Confidence","Reason","SizeBytes","Modified"
".gitignore","ACTIVE","HIGH","Aktive Projekt-, Start-, AbhÃ¤ngigkeits- oder Kerndokumentation.","118","2026-07-13 11:43:47"
"assets/icons/vadafok_icon.ico","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","42325","2026-07-13 11:43:43"
"assets/icons/vadafok_icon.png","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","14835","2026-07-13 11:43:43"
"batch_projects/.gitkeep","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","0","2026-07-13 11:43:43"
"batch_projects/test save.vbatch","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","934","2026-07-13 11:43:43"
"caption_library.json","ACTIVE","HIGH","Aktive Projekt-, Start-, AbhÃ¤ngigkeits- oder Kerndokumentation.","1090","2026-07-13 11:43:47"
"docs/ARCHITECTURE.md","ACTIVE","HIGH","Aktive Projekt-, Start-, AbhÃ¤ngigkeits- oder Kerndokumentation.","579","2026-07-13 11:43:44"
"docs/CHANGELOG.md","ACTIVE","HIGH","Aktive Projekt-, Start-, AbhÃ¤ngigkeits- oder Kerndokumentation.","1148","2026-07-14 12:06:39"
"docs/IDEAS.md","ACTIVE","HIGH","Aktive Projekt-, Start-, AbhÃ¤ngigkeits- oder Kerndokumentation.","2327","2026-07-14 12:06:39"
"docs/MASTER_ROADMAP.md","ACTIVE","HIGH","Aktive Projekt-, Start-, AbhÃ¤ngigkeits- oder Kerndokumentation.","475","2026-07-13 11:43:44"
"docs/PROJECT_STRUCTURE.md","ACTIVE","HIGH","Aktive Projekt-, Start-, AbhÃ¤ngigkeits- oder Kerndokumentation.","2621","2026-07-15 14:16:46"
"docs/ROADMAP.md","ACTIVE","HIGH","Aktive Projekt-, Start-, AbhÃ¤ngigkeits- oder Kerndokumentation.","394","2026-07-13 11:43:44"
"docs/Voice_Control.md","ACTIVE","HIGH","Aktive Projekt-, Start-, AbhÃ¤ngigkeits- oder Kerndokumentation.","2644","2026-07-14 12:06:13"
"library/silent_director_presets/README.txt","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","67","2026-07-13 11:43:47"
"PROJECT_RULES.md","ACTIVE","HIGH","Aktive Projekt-, Start-, AbhÃ¤ngigkeits- oder Kerndokumentation.","3484","2026-07-15 14:16:46"
"README.md","ACTIVE","HIGH","Aktive Projekt-, Start-, AbhÃ¤ngigkeits- oder Kerndokumentation.","91","2026-07-13 11:43:47"
"requirements.txt","ACTIVE","HIGH","Aktive Projekt-, Start-, AbhÃ¤ngigkeits- oder Kerndokumentation.","56","2026-07-13 11:43:48"
"requirements_voice.txt","ACTIVE","HIGH","Aktive Projekt-, Start-, AbhÃ¤ngigkeits- oder Kerndokumentation.","58","2026-07-14 12:06:10"
"ROADMAP.md","ACTIVE","HIGH","Aktive Projekt-, Start-, AbhÃ¤ngigkeits- oder Kerndokumentation.","9179","2026-07-14 12:06:39"
"run.py","ACTIVE","HIGH","Aktive Projekt-, Start-, AbhÃ¤ngigkeits- oder Kerndokumentation.","171","2026-07-14 12:06:13"
"scene_favorites.json","ACTIVE","HIGH","Aktive Projekt-, Start-, AbhÃ¤ngigkeits- oder Kerndokumentation.","41","2026-07-13 11:43:48"
"silent_director_presets.json","ACTIVE","HIGH","Aktive Projekt-, Start-, AbhÃ¤ngigkeits- oder Kerndokumentation.","7302","2026-07-15 14:17:03"
"Start VADAFOK Studio.bat","ACTIVE","HIGH","Aktive Projekt-, Start-, AbhÃ¤ngigkeits- oder Kerndokumentation.","33","2026-07-13 11:43:48"
"styles/.gitkeep","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","0","2026-07-13 11:43:47"
"styles/red_test.json","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","201","2026-07-13 11:43:47"
"text_library.json","ACTIVE","HIGH","Aktive Projekt-, Start-, AbhÃ¤ngigkeits- oder Kerndokumentation.","1253","2026-07-13 11:43:48"
"tools/finalize_release_2_16_6.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","3575","2026-07-14 12:06:10"
"tools/voice_listener.ps1","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","1071","2026-07-13 11:43:47"
"vadafok_studio/__init__.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","0","2026-07-13 11:43:47"
"vadafok_studio/__pycache__/__init__.cpython-314.pyc","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","158","2026-07-13 13:06:00"
"vadafok_studio/__pycache__/app.cpython-313.pyc","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","408808","2026-07-13 11:43:47"
"vadafok_studio/__pycache__/app.cpython-314.pyc","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","516182","2026-07-13 13:06:01"
"vadafok_studio/__pycache__/banner_workflow.cpython-313.pyc","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","10593","2026-07-14 18:29:47"
"vadafok_studio/__pycache__/banner_workflow.cpython-314.pyc","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","11851","2026-07-14 18:30:12"
"vadafok_studio/__pycache__/stream_workflow.cpython-313.pyc","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","15409","2026-07-15 13:30:31"
"vadafok_studio/__pycache__/stream_workflow.cpython-314.pyc","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","19112","2026-07-15 13:39:11"
"vadafok_studio/__pycache__/version.cpython-313.pyc","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","334","2026-07-15 13:30:31"
"vadafok_studio/__pycache__/version.cpython-314.pyc","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","352","2026-07-15 14:17:03"
"vadafok_studio/__pycache__/workspace_state.cpython-313.pyc","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","6149","2026-07-15 12:57:24"
"vadafok_studio/__pycache__/workspace_state.cpython-314.pyc","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","7330","2026-07-15 12:58:06"
"vadafok_studio/app.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","392044","2026-07-13 11:43:47"
"vadafok_studio/assets/icons/vadafok_icon.ico","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","34656","2026-07-13 11:43:47"
"vadafok_studio/assets/icons/vadafok_icon.png","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","6471","2026-07-13 11:43:47"
"vadafok_studio/banner_workflow.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","8454","2026-07-14 18:29:47"
"vadafok_studio/core/__pycache__/banner_profiles.cpython-313.pyc","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","2394","2026-07-09 11:06:53"
"vadafok_studio/core/__pycache__/banner_profiles.cpython-314.pyc","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","2581","2026-07-13 11:43:53"
"vadafok_studio/core/__pycache__/batch_engine.cpython-313.pyc","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","8446","2026-07-09 11:06:53"
