"Path","Status","Confidence","Reason","Suggestion","SizeBytes","Modified"
".gitignore","ACTIVE","HIGH","Aktive Projekt-, Start-, Abhängigkeits- oder Kerndatei.","Behalten","118","2026-07-13 11:43:47"
"ANALYZE_CLEANUP_2.19_RC2.bat","ACTIVE","HIGH","Quellcode, Konfiguration oder Laufzeit-Asset.","Behalten","356","2026-07-15 14:48:23"
"ANALYZE_CLEANUP_2.19_RC2.ps1","ACTIVE","HIGH","Quellcode, Konfiguration oder Laufzeit-Asset.","Behalten","6647","2026-07-15 14:48:23"
"ANALYZE_CLEANUP_2.19_RC2A.bat","ACTIVE","HIGH","Quellcode, Konfiguration oder Laufzeit-Asset.","Behalten","161","2026-07-15 14:59:28"
"ANALYZE_CLEANUP_2.19_RC2A.ps1","ACTIVE","HIGH","Quellcode, Konfiguration oder Laufzeit-Asset.","Behalten","10003","2026-07-15 14:59:28"
"ANALYZE_CLEANUP_2.19_RC2B.bat","ACTIVE","HIGH","Quellcode, Konfiguration oder Laufzeit-Asset.","Behalten","140","2026-07-15 15:03:57"
"ANALYZE_CLEANUP_2.19_RC2B.ps1","ACTIVE","HIGH","Quellcode, Konfiguration oder Laufzeit-Asset.","Behalten","10525","2026-07-15 15:03:57"
"assets\icons\vadafok_icon.ico","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","42325","2026-07-13 11:43:43"
"assets\icons\vadafok_icon.png","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","14835","2026-07-13 11:43:43"
"batch_projects\.gitkeep","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","0","2026-07-13 11:43:43"
"batch_projects\test save.vbatch","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","934","2026-07-13 11:43:43"
"caption_library.json","ACTIVE","HIGH","Quellcode, Konfiguration oder Laufzeit-Asset.","Behalten","1090","2026-07-13 11:43:47"
"docs\ARCHITECTURE.md","ACTIVE","HIGH","Aktive Kerndokumentation.","Behalten und weiter ergänzen","579","2026-07-13 11:43:44"
"docs\caption_library.json","ACTIVE","HIGH","Quellcode, Konfiguration oder Laufzeit-Asset.","Behalten","1090","2026-07-13 11:43:44"
"docs\CHANGELOG.md","ACTIVE","HIGH","Aktive Kerndokumentation.","Behalten und weiter ergänzen","1148","2026-07-14 12:06:39"
"docs\cleanup_reports\2.19_RC2\cleanup_inventory.json","ACTIVE","HIGH","Quellcode, Konfiguration oder Laufzeit-Asset.","Behalten","80130","2026-07-15 14:49:08"
"docs\IDEAS.md","ACTIVE","HIGH","Aktive Kerndokumentation.","Behalten und weiter ergänzen","2327","2026-07-14 12:06:39"
"docs\MASTER_ROADMAP.md","ACTIVE","HIGH","Aktive Kerndokumentation.","Behalten und weiter ergänzen","475","2026-07-13 11:43:44"
"docs\PROJECT_STRUCTURE.md","ACTIVE","HIGH","Aktive Kerndokumentation.","Behalten und weiter ergänzen","2621","2026-07-15 14:16:46"
"docs\ROADMAP.md","ACTIVE","HIGH","Aktive Kerndokumentation.","Behalten und weiter ergänzen","394","2026-07-13 11:43:44"
"docs\text_library.json","ACTIVE","HIGH","Quellcode, Konfiguration oder Laufzeit-Asset.","Behalten","1253","2026-07-13 11:43:44"
"docs\Voice_Control.md","ACTIVE","HIGH","Aktive Kerndokumentation.","Behalten und weiter ergänzen","2644","2026-07-14 12:06:13"
"INSTALL_VOICE_DEPENDENCIES.bat","ACTIVE","HIGH","Quellcode, Konfiguration oder Laufzeit-Asset.","Behalten","576","2026-07-14 12:06:10"
"library\silent_director_presets\README.txt","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","67","2026-07-13 11:43:47"
"PROJECT_RULES.md","ACTIVE","HIGH","Aktive Projekt-, Start-, Abhängigkeits- oder Kerndatei.","Behalten","3484","2026-07-15 14:16:46"
"README.md","ACTIVE","HIGH","Aktive Projekt-, Start-, Abhängigkeits- oder Kerndatei.","Behalten","91","2026-07-13 11:43:47"
"requirements.txt","ACTIVE","HIGH","Aktive Projekt-, Start-, Abhängigkeits- oder Kerndatei.","Behalten","56","2026-07-13 11:43:48"
"requirements_voice.txt","ACTIVE","HIGH","Aktive Projekt-, Start-, Abhängigkeits- oder Kerndatei.","Behalten","58","2026-07-14 12:06:10"
"ROADMAP.md","ACTIVE","HIGH","Aktive Projekt-, Start-, Abhängigkeits- oder Kerndatei.","Behalten","9179","2026-07-14 12:06:39"
"run.py","ACTIVE","HIGH","Aktive Projekt-, Start-, Abhängigkeits- oder Kerndatei.","Behalten","171","2026-07-14 12:06:13"
"scene_favorites.json","ACTIVE","HIGH","Quellcode, Konfiguration oder Laufzeit-Asset.","Behalten","41","2026-07-13 11:43:48"
"silent_director_presets.json","ACTIVE","HIGH","Quellcode, Konfiguration oder Laufzeit-Asset.","Behalten","7302","2026-07-15 14:17:03"
"Start VADAFOK Studio.bat","ACTIVE","HIGH","Aktive Projekt-, Start-, Abhängigkeits- oder Kerndatei.","Behalten","33","2026-07-13 11:43:48"
"styles\.gitkeep","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","0","2026-07-13 11:43:47"
"styles\red_test.json","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","201","2026-07-13 11:43:47"
"text_library.json","ACTIVE","HIGH","Quellcode, Konfiguration oder Laufzeit-Asset.","Behalten","1253","2026-07-13 11:43:48"
"tools\finalize_release_2_16_6.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","3575","2026-07-14 12:06:10"
"tools\voice_listener.ps1","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","1071","2026-07-13 11:43:47"
"vadafok_studio\__init__.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","0","2026-07-13 11:43:47"
"vadafok_studio\app.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","392044","2026-07-13 11:43:47"
"vadafok_studio\assets\icons\vadafok_icon.ico","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","34656","2026-07-13 11:43:47"
"vadafok_studio\assets\icons\vadafok_icon.png","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","6471","2026-07-13 11:43:47"
"vadafok_studio\banner_workflow.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","8454","2026-07-14 18:29:47"
"vadafok_studio\core\banner_profiles.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","1908","2026-07-13 11:43:47"
"vadafok_studio\core\batch_engine.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","5054","2026-07-13 11:43:47"
"vadafok_studio\core\caption_renderer.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","5647","2026-07-13 11:43:47"
"vadafok_studio\core\config.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","3539","2026-07-13 11:43:47"
"vadafok_studio\core\export_engine.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","3188","2026-07-13 11:43:47"
"vadafok_studio\core\image_view.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","1500","2026-07-13 11:43:47"
"vadafok_studio\core\layout_engine.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","6334","2026-07-13 11:43:47"
"vadafok_studio\core\library.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","5322","2026-07-13 11:43:47"
"vadafok_studio\core\obs_controller.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","16227","2026-07-13 11:43:47"
"vadafok_studio\core\obs_workflow.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","3432","2026-07-13 11:43:47"
"vadafok_studio\core\preview_engine.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","2350","2026-07-13 11:43:47"
"vadafok_studio\core\scene_favorites.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","1530","2026-07-13 11:43:47"
"vadafok_studio\core\silent_caption_engine.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","2858","2026-07-13 11:43:47"
"vadafok_studio\core\silent_director.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","9841","2026-07-13 11:43:47"
"vadafok_studio\core\style_engine.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","2628","2026-07-13 11:43:47"
"vadafok_studio\core\template_canvas_layers.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","659","2026-07-13 11:43:47"
"vadafok_studio\core\template_store.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","8827","2026-07-13 11:43:47"
"vadafok_studio\core\text_library_engine.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","4405","2026-07-13 11:43:47"
"vadafok_studio\quick_cards_workflow\__init__.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","98","2026-07-14 18:08:19"
"vadafok_studio\quick_cards_workflow\integration.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","6680","2026-07-14 18:08:19"
"vadafok_studio\stream_workflow.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","13605","2026-07-15 13:39:07"
"vadafok_studio\tools\voice_listener.ps1","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","4490","2026-07-14 15:26:26"
"vadafok_studio\version.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","160","2026-07-15 15:04:01"
"vadafok_studio\voice_control\__init__.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","972","2026-07-15 12:26:59"
"vadafok_studio\voice_control\foundation.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","17112","2026-07-14 15:26:26"
"vadafok_studio\voice_control\language_selection.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","4375","2026-07-14 12:40:27"
"vadafok_studio\voice_control\matcher.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","7238","2026-07-14 12:06:13"
"vadafok_studio\voice_control\quick_card_voice.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","11767","2026-07-14 15:26:26"
"vadafok_studio\voice_control\voice_help.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","2298","2026-07-14 15:26:25"
"vadafok_studio\voice_control\voice_library.json","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","5194","2026-07-14 12:06:13"
"vadafok_studio\voice_control\whisper_dictation.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","8042","2026-07-14 12:06:13"
"vadafok_studio\voice_control\whisper_settings.json","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","233","2026-07-14 12:06:13"
"vadafok_studio\workspace_state.py","ACTIVE","HIGH","Quellcode, Werkzeuge, Styles oder Laufzeit-Assets.","Behalten","3851","2026-07-15 12:57:24"
"docs\BANNER_WORKFLOW_2.17_RC1_APPEND.md","ARCHIVE_CANDIDATE","HIGH","Historische RC-, Test- oder Ergänzungsnotiz.","docs\history\2.17\notes\","829","2026-07-14 18:29:47"
"docs\CLEANUP_ANALYZER_2.19_RC2.md","ARCHIVE_CANDIDATE","HIGH","Historische RC-, Test- oder Ergänzungsnotiz.","docs\history\2.19\notes\","334","2026-07-15 14:48:23"
